question,answer,dataset
Is the person with the highest net worth self-made?,True,001_Forbes
Does the youngest billionaire identify as male?,True,001_Forbes
Is the city with the most billionaires in the United States?,True,001_Forbes
Is there a non-self-made billionaire in the top 5 ranks?,True,001_Forbes
Does the oldest billionaire have a philanthropy score of 5?,False,001_Forbes
What is the age of the youngest billionaire?,19.0,001_Forbes
How many billionaires are there from the 'Technology' category?,343,001_Forbes
What's the total worth of billionaires in the 'Automotive' category?,583600,001_Forbes
How many billionaires have a philanthropy score above 3?,25,001_Forbes
What's the rank of the wealthiest non-self-made billionaire?,3,001_Forbes
Which category does the richest billionaire belong to?,Automotive,001_Forbes
What's the country of origin of the oldest billionaire?,United States,001_Forbes
What's the gender of the billionaire with the highest philanthropy score?,M,001_Forbes
What's the source of wealth for the youngest billionaire?,drugstores,001_Forbes
What is the title of the billionaire with the lowest rank?,,001_Forbes
List the top 3 countries with the most billionaires.,"['United States', 'China', 'India']",001_Forbes
List the top 5 sources of wealth for billionaires.,"['real estate', 'investments', 'pharmaceuticals', 'diversified', 'software']",001_Forbes
List the top 4 cities where the youngest billionaires live.,"['', 'Los Angeles', 'Jiaozuo', 'Oslo']",001_Forbes
List the bottom 3 categories with the fewest billionaires.,"['Logistics', 'Sports', 'Gambling & Casinos']",001_Forbes
List the bottom 2 countries with the least number of billionaires.,"['Colombia', 'Andorra']",001_Forbes
List the top 5 ranks of billionaires who are not self-made.,"[3, 10, 14, 16, 18]",001_Forbes
List the bottom 3 ages of billionaires who have a philanthropy score of 5.,"[48.0, 83.0, 83.0]",001_Forbes
List the top 6 final worth values of billionaires in the 'Technology' category.,"[171000, 129000, 111000, 107000, 106000, 91400]",001_Forbes
List the top 4 ranks of female billionaires.,"[14, 18, 21, 30]",001_Forbes
List the top 2 final worth values of billionaires in the 'Automotive' category.,"[219000, 44800]",001_Forbes
Did any children below the age of 18 survive?,True,002_Titanic
Were there any passengers who paid a fare of more than $500?,True,002_Titanic
Is every passenger's name unique?,True,002_Titanic
Were there any female passengers in the 3rd class who survived?,True,002_Titanic
How many unique passenger classes are present in the dataset?,3,002_Titanic
What's the maximum age of the passengers?,80.0,002_Titanic
How many passengers boarded without any siblings or spouses?,604,002_Titanic
"On average, how much fare did the passengers pay?",32.31,002_Titanic
Which passenger class has the highest number of survivors?,1,002_Titanic
What's the most common gender among the survivors?,female,002_Titanic
"Among those who survived, which fare range was the most common: (0-50, 50-100, 100-150, 150+)?",0-50,002_Titanic
"What's the most common age range among passengers: (0-18, 18-30, 30-50, 50+)?",18-30,002_Titanic
Name the top 3 passenger classes by survival rate.,"[1, 2, 3]",002_Titanic
"Could you list the lower 3 fare ranges by number of survivors: (0-50, 50-100, 100-150, 150+)?","['50-100', '150+', '100-150']",002_Titanic
"What are the top 4 age ranges('30-50', '18-30', '0-18', '50+') with the highest number of survivors?","['30-50', '18-30', '0-18', '50+']",002_Titanic
What are the top 2 genders by average fare paid?,"['female', 'male']",002_Titanic
What are the oldest 3 ages among the survivors?,"[80, 63, 63]",002_Titanic
Which are the top 4 fares paid by survivors?,"[512.329, 512.329, 512.329, 263]",002_Titanic
Could you list the youngest 3 ages among the survivors?,"[1, 1, 1]",002_Titanic
Which are the lowest 4 fares among those who didn't survive?,"[0, 0, 0, 0]",002_Titanic
Is the average age of the respondents above 30?,True,003_Love
Are there more single individuals than married ones in the dataset?,True,003_Love
Do the majority of respondents have a height greater than 170 cm?,True,003_Love
Is the most frequent hair color black?,False,003_Love
How many unique nationalities are present in the dataset?,13,003_Love
What is the average gross annual salary?,56332.81720430108,003_Love
How many respondents wear glasses all the time?,98,003_Love
What's the median age of the respondents?,33.0,003_Love
What is the most common level of studies achieved?,Master,003_Love
Which body complexity has the least number of respondents?,Very thin,003_Love
What's the most frequent eye color?,Brown,003_Love
Which sexual orientation has the highest representation?,Heterosexual,003_Love
List the top 3 most common areas of knowledge.,"['[Computer Science]', '[Business]', '[Enginering & Architecture]']",003_Love
List the bottom 3 hair lengths in terms of frequency.,"['Medium', 'Long', 'Bald']",003_Love
Name the top 5 civil statuses represented in the dataset.,"['Single', 'Married', 'In a Relationship', 'In a Relationship Cohabiting', 'Divorced']",003_Love
What are the 4 least common hair colors?,"['Red', 'Other', 'White', 'Blue']",003_Love
What are the top 4 maximum gross annual salaries?,"[500000.0, 360000.0, 300000.0, 300000.0]",003_Love
Name the bottom 3 values for the happiness scale.,"[2, 2, 2]",003_Love
What are the 5 highest ages present in the dataset?,"[65, 62, 60, 60, 59]",003_Love
List the bottom 6 skin tone values based on frequency.,"[2, 1, 6, 0, 7, 8]",003_Love
Are there any trips with a total distance greater than 30 miles?,False,004_Taxi
Were there any trips that cost more than $100 in total?,False,004_Taxi
Is there any trip with more than 6 passengers?,False,004_Taxi
Did all the trips use a payment type of either 1 or 2?,False,004_Taxi
What is the maximum fare amount charged for a trip?,75.25,004_Taxi
How many unique pickup locations are in the dataset?,96,004_Taxi
What is the average tip amount given by passengers?,2.74,004_Taxi
How many trips took place in the airport area?,99807,004_Taxi
Which payment type is the most common in the dataset?,1,004_Taxi
Which vendor has the most trips recorded?,2,004_Taxi
What is the most common drop-off location?,236,004_Taxi
On which date did the first recorded trip occur?,2023-01-31,004_Taxi
Which are the top 3 most frequent pickup locations?,"[161, 237, 236]",004_Taxi
Name the 4 most common rate codes used.,"[1, 2, 5, 4]",004_Taxi
list the 2 most frequent store and forward flags.,"['N', 'Y']",004_Taxi
Identify the top 4 payment types used by frequency,"[1, 2, 4, 3]",004_Taxi
Report the 4 highest toll amounts paid.,"[0, 0, 0, 0]",004_Taxi
list the top 3 longest trip distances,"[19.83, 19.74, 19.68]",004_Taxi
Identify the 5 largest total amounts paid for trips.,"[80.0, 80.0, 80.0, 80.0, 80.0]",004_Taxi
Report the 6 highest fare amounts charged.,"[75.25, 74.4, 73.0, 73.0, 73.0, 73.0]",004_Taxi
Are there any complaints made in Brooklyn?,True,005_NYC
Do any complaints have 'Dog' as a descriptor?,True,005_NYC
Were there any complaints raised in April?,True,005_NYC
Is the Mayor's office of special enforcement one of the agencies handling complaints?,True,005_NYC
How many complaints have been made in Queens?,23110,005_NYC
What's the total number of unique agencies handling complaints?,22,005_NYC
How many complaints were raised at midnight?,14811,005_NYC
How many unique descriptors are present in the dataset?,1131,005_NYC
Which borough has the most complaints?,BROOKLYN,005_NYC
Which month sees the highest number of complaints?,July,005_NYC
Which weekday has the least complaints?,Sunday,005_NYC
Which agency is least frequently handling complaints?,ACS,005_NYC
List the top 5 most frequent complaint types.,"['Noise - Residential', 'HEAT/HOT WATER', 'Illegal Parking', 'Blocked Driveway', 'Street Condition']",005_NYC
Which 4 agencies handle the most complaints?,"['NYPD', 'HPD', 'DOT', 'DSNY']",005_NYC
Name the 2 least frequent descriptors for complaints by inverse alphabetical order.,"['Booting Company', 'Ready NY - Businesses', 'Animal']",005_NYC
Mention the 2 most common weekdays for complaints.,"['Tuesday', 'Monday']",005_NYC
What are the top 4 hours with the most complaints?,"[0, 12, 10, 11]",005_NYC
State the 3 lowest unique complaint keys.,"[15628852, 15634748, 15634996]",005_NYC
Which 2 hours see the least complaints?,"[6, 2]",005_NYC
List the 6 highest complaint numbers from the dataset.,"[54954250, 54954040, 54952675, 54950924, 54950765, 54950581]",005_NYC
Are all properties in the dataset located in the same neighbourhood?,False,006_London
Do all hosts verify their identity?,False,006_London
Are all reviews_per_month values greater than 5?,False,006_London
Are there any listings without a specified room type?,False,006_London
How many unique neighbourhoods are there in the dataset?,563,006_London
How many listings don't have a valid price?,0,006_London
How many properties have received the worst possible (0-5) review score for communication?,6,006_London
What is the maximum number of bedrooms a property has in this dataset?,22.0,006_London
Which neighbourhood has the most listings?,Westminster,006_London
